"Ciudad","Estado","Rep. de ventas","Autopartes","","","","","","","","","","","","","","","","","","","","","",""
"Ajo","Arizona","Aj Mcnally","Alerón","","","","","","","","","","","","","","","","","","","","","",""
"Alameda","California","Alastair Truong","Alerón","","","","","","","","","","","","","","","","","","","","","",""
"Alexander City","Alaska","Aniyah Robles","Alerón","","","","","","","","","","","","","","","","","","","","","",""
"Anaheim","Arkansas","Benas Bassett","Alerón","","","","","","","","","","","","","","","","","","","","","",""
"Arkadelphia","Arizona","Bentley Rubio","Alerón","","","","","","","","","","","","","","","","","","","","","",""
"Atenas","Alaska","Bibi Wolfe","Alerón","","","","","","","","","","","","","","","","","","","","","",""
"Avondale","Alaska","Brady Fritz","Alerón","","","","","","","","","","","","","","","","","","","","","",""
"Bakersfield","Alaska","Braiden Haynes","Borde","","","","","","","","","","","","","","","","","","","","","",""
"Benton","Arizona","Bryony John","Borde","","","","","","","","","","","","","","","","","","","","","",""
"Bisbee","California","Cairo Dunlap","Borde","","","","","","","","","","","","","","","","","","","","","",""
"Blytheville","Arizona","Callie Mclaughlin","Borde","","","","","","","","","","","","","","","","","","","","","",""
"Burbank","California","Charles Bonilla","Borde","","","","","","","","","","","","","","","","","","","","","",""
"Calistoga","Arkansas","Cienna Mcintosh","Borde","","","","","","","","","","","","","","","","","","","","","",""
"Casa Grande","Arizona","Clare Noel","Borde","","","","","","","","","","","","","","","","","","","","","",""
"Chandler","California","Conan Eaton","Borde","","","","","","","","","","","","","","","","","","","","","",""
"Clifton","Alaska","Dannielle Mohammed","Borde","","","","","","","","","","","","","","","","","","","","","",""
"Cordova","Alaska","Dawson Mcgowan","Borde","","","","","","","","","","","","","","","","","","","","","",""
"Douglas","California","Dwayne Barnett","Borde","","","","","","","","","","","","","","","","","","","","","",""
"El Dorado","California","Eddison Mercer","Borde","","","","","","","","","","","","","","","","","","","","","",""
"Fairbanks","California","Eiliyah Golden","Borde","","","","","","","","","","","","","","","","","","","","","",""
"Flagstaff","Arkansas","Eisa Garza","Levantavidrios","","","","","","","","","","","","","","","","","","","","","",""
"Florence","Arkansas","Emilee Guthrie","Manija exterior de la puerta","","","","","","","","","","","","","","","","","","","","","",""
"Forrest City","Arizona","Erik Estes","Manija exterior de la puerta","","","","","","","","","","","","","","","","","","","","","",""
"Fremont","Arkansas","Finlay Chen","Manija interior de la puerta","","","","","","","","","","","","","","","","","","","","","",""
"Fresno","Arizona","Haidar Kaye","Manija interior de la puerta","","","","","","","","","","","","","","","","","","","","","",""
"Gila Bend","Alabama","Hallam Gardner","Neumáticos","","","","","","","","","","","","","","","","","","","","","",""
"Glendale","Alabama","Homer Buckley","Neumáticos","","","","","","","","","","","","","","","","","","","","","",""
"Globe","Arkansas","Ibraheem Betts","Neumáticos","","","","","","","","","","","","","","","","","","","","","",""
"Hope","Arizona","Ieuan Little","Neumáticos","","","","","","","","","","","","","","","","","","","","","",""
"Inglewood","Arizona","Jayce Browning","Neumáticos","","","","","","","","","","","","","","","","","","","","","",""
"Jasper","Arizona","Jazmin Ward","Neumáticos","","","","","","","","","","","","","","","","","","","","","",""
"Kingman","Arkansas","Jethro Stein","Neumáticos","","","","","","","","","","","","","","","","","","","","","",""
"La Habra","Arkansas","Joe Workman","Neumáticos","","","","","","","","","","","","","","","","","","","","","",""
"Lake Havasu City","Arkansas","Jonathan Gibbons","Paquete de accesorios","","","","","","","","","","","","","","","","","","","","","",""
"Magnolia","Arizona","Jordyn Metcalfe","Paquete de accesorios","","","","","","","","","","","","","","","","","","","","","",""
"Merced","Arizona","Juniper Wheatley","Paquete de accesorios","","","","","","","","","","","","","","","","","","","","","",""
"Mesa","California","Kabir Blundell","Paquete de accesorios","","","","","","","","","","","","","","","","","","","","","",""
"Newport","Arizona","Kenan Leal","Paquete de accesorios","","","","","","","","","","","","","","","","","","","","","",""
"Nome","Arizona","Kishan Hills","Parachoques","","","","","","","","","","","","","","","","","","","","","",""
